country;date;value;Name
Finland (inc); 2014;0,28397;P90vsP10
Finland (inc); 2015;0,28;P90vsP10
France (inc); 2003;0,23096;P90vsP10
France (inc); 2004;0,24309;P90vsP10
France (inc); 2005;0,2473;P90vsP10
France (inc); 2006;0,24806;P90vsP10
France (inc); 2007;0,22543;P90vsP10
France (inc); 2008;0,21907;P90vsP10
France (inc); 2009;0,21231;P90vsP10
France (inc); 2010;0,20885;P90vsP10
France (inc); 2011;0,21178;P90vsP10
France (inc); 2012;0,21375;P90vsP10
France (inc); 2013;0,22026;P90vsP10
France (inc); 2014;0,22278;P90vsP10
France (inc); 2015;0,21413;P90vsP10
Gabon (cons); 2005;0,14855;P90vsP10
Gabon (cons); 2017;0,15905;P90vsP10
Gambia (cons); 1998;0,09973;P90vsP10
Gambia (cons); 2010;0,1429;P90vsP10
Gambia (cons); 2015;0,20021;P90vsP10
Georgia (cons); 1996;0,16385;P90vsP10
Georgia (cons); 1997;0,12565;P90vsP10
